question,n.问题，疑问 v.询问
quickly,adv.快，迅速地
race,n.种族，竞赛 v.赛跑
raise,v.举起，提高，唤起
rather,adv.相当，颇，宁愿
real,adj.真的，纯粹的
really,adv.真正地，果然
reason,n.原因，理由 v.推论
recently,adv.近来，最近
recession,n.衰退
record,v.记录，录音 n.记录
reduce,v.减少，贬为
reform,v.,n.改革，改造
refugee,n.难民
region,n.地区，地域，地带
regional,adj.地区的，区域的
religious,adj.宗教的，信教的
remain,n.依旧的，剩余，逗留
remains,n.剩余，遗迹，遗体
report,v.报告，报导，报道
research,v.,n.调查，研究
response,v.答复，反应，响应
responsible,adj.负责的，尽责的
result,n.结果，效果，后果
return,v.回归，归还 n.归来
revolution,n.革命，变革
rich,adj.富的，富饶的
right,adj.正确的，右的
rise,v.起立，晋级，增长
risk,n.,v.冒险，风险
rival,n.对手 adj.竞争的
road,n.道路，路
role,n.角色，作用
rule,n.法规，常规，统治
ruling,adj.统治的
run,v.跑，竞选，行驶
same,adj.同样的
saw,v.,n.锯
say,v.说 n.发言(权)
school,n.学校，上学，学系
science,n.科学，学科
sea,n.海，海洋
second,num.第二 n.第二，秒
security,n.安全，有价证券
seem,v.好象，似乎
self,n.自己，自身，品质
senior,adj.年长的，老资格的
sense,n.感官，感觉，见识
serious,adj.慎重的，严重的
service,n.服务，公共设施
set,v.放，指定 n.全套
seven,num.七
several,adj.几个
sex,n.性，性别
share,n.份，股份 v.分配
short,adj.短的，矮的
show,v.显示，表明 n.演出
side,n.边，面，侧面，一方
similar,adj.类似的，相象的
single,adj.单个的，单身的
site,n.场所，场地
six,num.六
small,adj.小的，不重要的
social,adj.社会的，社会性的
software,n.软件
something,pron.某事，某物
sometimes,adv.有时，不时
soon,adv.不久，很快，早
sort,n.种类 v.分类，拣
southern,adj.南的，南方的
species,n.物种，种类
speed,n.速度 v.飞驰
stable,adj.稳固的，稳定的
staff,n.工作人员，棒子
standard,n.标准 adj.标准的
start,v.开始，着手，发动
status,n.形势，身分
story,n.故事，小说，经历
strategy,n.战略，策略，计谋
strike,v.打，攻击，罢工
strong,adj.强壮的，强烈的
success,n.成功
supply,v.供应，供给
support,v.支持，资助，支援
surprise,v.使惊诧 n.惊奇
system,n.系统，体制，制度
take,v.拿，带，吃，乘
tank,n.油箱，水箱，坦克
technology,n.技术，工艺
ten,num.十
tend,v.趋向，照料，投标
term,n.期限，学期，术语
thanks,n.感谢 int.谢谢
themselves,pron.他们、它们自己
then,adv.当时，然后，那么
therefore,adv.因而，所以
these,pron.这些
think,v.想，相信，认为
third,num.第三，三分之一
thought,n.想法，思想，关怀
