each,adj.,adv.名，每个
early,adj.早的，初期的
east,adj.东方的 n.东方
economics,n.经济学
education,n.教育，训练
effective,adj.有效的
either,adj.二者之一 adv.也
election,n.选举
elsewhere,adv.在别处
encourage,v.鼓舞，鼓励，助长
energy,n.精力，活力，能量
engine,n.发动机，火车头
enough,adj.,adv.足够(的)
especially,adv.特别地，专门地
eventually,adv.最终，终于
ever,adv.曾经，总是，究竟
every,adj.每个，所有的
evidence,n.证据，迹象
example,n.例子，榜样
exchange,v.交换，兑换 n.交易
expensive,adj.昂贵的，高价的
explorer,n.勘探者，探险家
face,n.脸，正面 v.面对
fact,n.事实，真相
fall,v.落下，跌倒 n.瀑布
family,n.家庭，家属
fast,adj.快的 adv.快
federal,adj.联邦的
fell,v.砍到
few,adj.少的 n.少数
fight,v.打仗，战斗，作斗争
film,n.胶片，电影，薄膜
finance,n.金融 v.资助
financial,adj.金融的，财政的
find,v.寻找，找到，发现
firm,adj.坚固的 n.商号
five,num.五
focus,n.焦点，中心 v.集中
force,n.力，力量 v.强迫
forecast,n.,v.预测，预报
form,n.形状，类型，表格
former,adj.以前的，前者
found,v.创办，使有根据
four,num.四
free,adj.自由的，空闲的
fresh,adj.新鲜的，崭新的
front,n.正面，前线 v.面对
fuel,n.燃料
full,adj.满的，完全的
fund,n.基金，资金，蕴藏
further,adv.更远，进一步
future,n.将来，前途
gas,n.气体，煤气，汽油
general,adj.一般的，总的
get,v.获得，记住，到达
global,adj.全世界的，总的
go,v.去，进行，打算
gold,n.黄金，金币，金色
good,adj.好的，善良的
goods,n.货物，商品
great,adj.大的，伟大的
group,n.群，组，团体
grow,v.增长，成长，种植
half,n.一半 adv.一半
health,n.健康(状况)
heir,n.继承人
help,v.,n.帮助，有助于
hen,n.母鸡
hey,int.嗨
him,pron.他(宾格)
history,n.历史
hold,v.握住，容纳 n.控制
home,n.家，故乡 adv.回家
hope,v.,n.希望，愿望
hose,n.软水管，长统袜
house,n.房子，剧场，家
how,adv.如何，多么，怎样
however,adv.可是，然而
human,adj.人的，人类的
i,.我
idea,n.思想，主意，打算
important,adj.重要的，重大的
income,n.收入，所得
increase,v.,n.增加，增长
increasing,adj.不断增长的
independence,n.独立，自主
index,n.索引，标志，指数
industry,n.工业，产业，勤奋
information,n.通知，情报，资料
instance,n.例子
integration,n.结合，整体
interest,n.兴趣，利息，利益
international,adj.国际的
itself,pron.它自己
jet,v.喷射 v.喷气发动机
job,n.工作，活儿，差使
justice,n.公正，正直
keep,v.保持，保留，防止
key,n.钥匙，关键，答案
lack,v.,n.缺少
