thus,adv.如此，这样，因而
today,adv.今天,现在 n.今日
together,adv.共同，一起，同时
top,n.顶，盖子 v.高于
trade,n.贸易，交换 v.经商
trap,n.陷井，圈套 v.诱捕
travel,v.旅行，传导
true,adj.真实的，真正的
try,v.尝试，审讯 n.尝试
turn,v.转向，旋转 n.轮流
union,n.联合，联盟，联合会
university,n.大学
until,prep.,conj.到...为止
use,v.使用 n.用途，利用
value,n.价值 v.评价，估价
very,adv.很，非常
victory,n.胜利
view,n.视域，景色，见解
violence,n.猛烈，暴力，暴行
visa,n.签证
vote,n.投票(权)，得票数
want,v.想要，通辑 n.缺乏
water,n.水 v.浇水，垂涎
week,n.星期，周，工作周
welcome,adj.受欢迎的 v.欢迎
whaling,n.捕鲸(业)
whether,conj.是否，还是...
while,n.一会儿 conj.当..时
whole,adj.全部的 n.全部
whose,pron.谁的
why,adv.为什么
widely,adv.广泛地，非常
win,v.赢得，成功
wing,n.翅膀，翼，派别
within,prep.,adv.在...内
without,prep.没有，在...外部
work,n.劳动，工作，作品
works,n.工厂
worry,v.,v.烦恼，担心
worth,n.价值 adj.值...的
yet,adv.仍然，还，尚
you,pron.你，你们
young,adj.年轻的 n.青年人
your,pron.你的，你们的
zero,n.零，零度
